"ID","Comments_ID","Language","Description"
"148","150","DE","Seit 1515 handelte es sich hier um die rechte Straße von Nürnberg nach Erfurt. Ab Gehren hatte man die Wahl den Verlauf über Langewiesen - Ilmenau zu nehmen oder über Gräfinau."
"150","152","DE","Diese Verbindung zwischen Nordhausen und Sondershausen kam vermutlich erst im 17. und 18. Jahrhundert auf. Sie findet sich erst in einer Karte von 1750, wo sie als Land- und Poststraße bezeichnet wird, während weiter westliche die Straße über Rüxleben als ""gemeine Straße"" bezeichnet wird."
"152","154","DE","Diese Straße wurde 1683 als die rechte Straße von Nürnberg nach Leipzig bestimmt."
"154","156","DE","1470 wurde die Strecke von Hof auf Schleiz für den Handel nach Leipzig verboten und nur der Erfurter Handel durfte weiterhin auf dieser Strecke fahren. Der Verkehr auf Leipzig hatte über Plauen oder Oelsnitz zu fahren. Anscheinend benötigte dieses Gebot der mehrfachten Erinnerung; noch 1551 wird auf die rechte Straße verwiesen."
"156","158","DE","1433 und 1459 wurde verfügt, dass der Verkehr zwischen Brandenburg und Magdeburg über Plaue zu laufen hatte, wo der entsprechende Zoll geleistet werden musste. Mit der Instandsetzung des Fiener Damms verlegte sich der Verkehr zunehmend über Ziesar, wodurch diese Route verödete."
"158","160","DE","Die am Fuß des Harzes entlangziehende Talzone wurde durch den Verkehr wahrscheinlich erst ab dem 17. Jh. benutzt. Vorher zog der Verkehr zwischen Osterode und Herzberg über die Höhen weiter östlich."
"160","162","DE","Seit 1515 vertraglich festgelegte Zwangsstraße von Lübeck, Hamburg und Eisleben über den Harz nach Thüringen. In einen Bericht nach Guthmannshausen heißt es, dass die Waren von Lübeck, Braunschweig und Magdeburg nach Franken jeher die Straße über Nebra, Tauhardt und Guthmannshausen genommen hätten."
"162","164","DE","Die direkte Straße zwischen Schladen und Wiedelah/Vienenburg wird in Quellen aus dem 18. Jh. erwähnt; ihre Bedeutung für frühere Jahrhunderte ist zweifelhaft."
"164","166","DE","Die Oker wurde 1575 zwischen Schladen und Wolfenbüttel schiffbar gemacht, und 1577 zwischen Schladen und Oker, unter anderem durch Schleusenbau. Die Schiffbarmachung war eng mit dem Ausbau Wolfenbüttels als Festungstadt durch die Herzöge von Braunschweig verbunden, und der Fluss diente hauptsächlich dem Transport von Steinen und Bauholz für die Bauaktivitäten in der Stadt. Die Schifffahrt auf der Oker kam zum Stillstand im Dreißigjährigen Krieg."
"166","168","DE","Die Nette (Altenau) wurde 1575 schiffbar gemacht, hauptsächlich für den Transport von Steinen aus dem Elm die für den Ausbau Wolfenbüttels zur Festungstadt durch die Herzöge von Braunschweig benötigt waren. Einem Bericht aus 1578 zufolge war die Nette bis Schöppenstedt schiffbar. Wegen der geringen Tiefe des Stromes ist es jedoch sehr fragwürdig ob der Fluss viel genutzt wurde; um 1610 muss die Schifffahrt auf der Nette jedenfalls eingegangen sein."
"168","170","DE","Obwohl möglich bereits im Hochmittelalter Schifffahrt auf der Oker in Braunschweig stattfand, war sie im 14. Jh. wegen Stapelansprüche Lüneburgs zum Stillstand gekommen. 1459 wurde Schifffahrt auf der Oker und Aller zwischen Braunschweig und Celle offiziell erlaubt, ausgenommen Transporte von Salz, Eisen und Trockenfisch. Sie wurde zudem gefördert durch Bauarbeiten an Schleusen und im Flussbett in den nächsten Jahren. Die Schifffahrt auf dieser Strecke blühte einige Jahrzehnten, aber muss vor 1507 zum Stillstand gekommen sein, als festgestellt wurde, dass die Celler Zolleinkünfte von Braunschweiger Schiffen weggefallen waren."
"170","172","DE","Die Leine wurde spätestens 1381 als Schifffahrtsweg nach Hannover geöffnet, nach dem Lüneburger Erbfolgekrieg und einer Fehde mit der Familie Mandelsloh, die viel Land am Fluss besaß. Vereinbarung mit Mühlen- und Fischwehrbesitzern garantierten die Vorbeifahrt der Wehre. Die Leineschifffahrt führte zu Konflikten mit Lüneburg und Celle wegen der Stapel- und Zollansprüche. Ein Vertrag auf 10 Jahre aus 1507 regelte die Zollabgaben der Leineschifffahrt der Hannoveraner, aber er wurde nachher nicht erneuert und die Schifffahrt wurde eingestellt."
"172","176","DE","Das Ilmenauprivileg 1348 erlaubte der Stadt Lüneburg, das Flussbett der Ilmenau stromaufwärts aufzuräumen und den Fluss somit schiffbar zu machen. Er wurde hauptsächlich als Transportweg für Brennholz für die Lüneburger Saline benutzt. Laut einer Quelle aus 1393 hatten die Herzöge von Braunschweig-Lüneburg zu der Zeit die Ilmenau versperrt. Ab 1562 wurde auf die Strecke zwischen Medingen und Uelzen verzichtet."
"174","178","DE","Die Stadt Hamburg versuchte die freie Schifffahrt auf dem südlichen Elbarm ab dem späten 14. Jh. zu verhindern, zum Schutz ihres Stapels. Ab der Erwerbung der Moorburg 1375 war die Stadt in der Lage, Schiffe anzuhalten und zu zwingen nach Hamburg zu fahren, trotz eines Konflikte mit den Herzögen von Braunschweig-Lüneburg und den Städten Harburg, Stade und Buxtehude, und eines Urteils des Reichskammergerichts aus 1619, dass die Schifffahrt auf der Süderelbe frei sein sollte."
"176","180","DE","Einer Urkunde aus 1033 zufolge war die Ruhr bis zur Abtei Werden schiffbar. Obwohl Schifffahrt im Ruhrrecht 1542 nicht genannt wird, werden Ruhrkähne in der Hafenordnung aus Wesel 1681 erwähnt. Dies deutet darauf hin, dass zumindest der Unterlauf des Flusses durch die Jahrhunderte schiffbar geblieben ist."
"178","182","DE","1390 schlossen der Lübecker Rat und der Herzog von Sachsen-Lauenburg einen Vertrag über das Graben eines Kanals zwischen Mölln und der Delvenau, die bei Lauenburg in die Elbe mündet. Bis 1398 wurde südlich von Mölln ein Kanal von etwa 11km gegraben, die Delvenau kanalisiert sowie mehrere Schleusen angelegt. Der resultierende sogenannte Stecknitzkanal wurde hauptsächlich für Salztransporte zwischen Lüneburg und Lübeck benutzt."
"180","184","DE","Hamburg erlangte 1448 die Erlaubnis, einen Kanal zwischen der Alster in Stegen und der Beste/Trave in Sülfeld zu bauen und damit eine durchgehende Wasserstraße nach Lübeck zu erschaffen. Das Projekt wurde jedoch erst 1529 ausgeführt, und trotz vieler Schleusen gab es ständig Probleme, genügend Wasser im Kanal zu halten. Die Schifffahrt auf dem Kanal wurde etwa 20 Jahre nach der Eröffnung wieder eingestellt."
"182","186","DE","Die Benutzung der Landstraßen von Harburg und Winsen südwärts, Lüneburg umgehend, war den Lüneburger Stapelprivilegien aus 1392 gemäß für den Warentransport untersagt sowie ab 1467 für die Viehtrift. Es war jedoch für die Stadt nicht immer möglich, diesen Straßenzwang auch durchzusetzen."
"184","188","DE","Die Ems wurde zwischen Rheine und Greven schiffbar nach der Erbauung eines Mühlenwehrs in Rheine 1550. Versuche die Ems auch flussaufwärts von Greven schiffbar zu machen im 17. Jh. scheiterten wegen des geringen Wasserstandes."
"186","190","DE","Die Ems war bis Meppen für größere Schiffe befahrbar; bis Rheine oder Greven nur mit kleineren Schiffen oder Flößen oder beim mittleren Wasserstand."
"188","192","DE","Um 1480 versuchten die Herzöge von Mecklenburg, eine Wasserstraße zwischen der Elbe und der Ostsee durch den Schweriner See und die Flüsse Stör und Elde einzurichten. Die Bemühungen scheiterten hauptsächlich wegen Wiederstand des Kurfürsten von Brandenburg. Erneute Bemühungen ab 1564 führten zu einem Kanalbau von Dömitz nach Eldena zwischen 1568 und 1572, die Mark Brandenburg umgehend, womit die Wasserstraße zwischen Dömitz und den Schweriner See schiffbar wurde. Die Verbindung zwischen den Schweriner See und Wismar machte aber größere technische Schwierigkeiten und war wahrscheinlich nie betriebsfähig, trotz der Darstellung des Kanals als durchgehender Wasserweg auf einer Karte von Daniel Frese aus 1605."
"190","194","DE","1412 and 1430 erhielt Lüneburg Privilegien, Wasserwege durch Mecklenburg anzulegen für den Transport ihres Salzes zu den Ostseehäfen. Zwischen 1553 und 1564 wurde dann die Schaale schiffbar gemacht, unter anderem durch den Bau von sieben Schleusen. Damit wurde eine schiffbare Verbindung zwischen der Elbe bei Boizenburg und dem Schaalsee geschaffen. In Dutzow am Nordufer des Sees wurden die Güter auf die Landstraße zu den Hafenstädten umgeschlagen."
"192","196","DE","Der Graf von Delmenhorst und die Stadt Bremen verpflichteten sich 1311 beiderseits zur Unterhaltung der Straße zwischen Bremen und Delmenhorst über Huchting. Ältere Routen, nördlich über Seehausen und Hasbergen oder südlich über Ganderkesee, wurden nun durch Delmenhorst geleitet. Wegen der Lage in einer Niederung war die neue Straße jedoch oft überschwemmt; in solchen Fällen wurden die alten Straßen wieder benutzt und boten die Einwohner von Huchting Fährdienste an."
"194","198","DE","In einem Vertrag zwischen Mainz und Hessen von 1572 wird diese Straße von Wanfried nach Langensalza als neue Straße und keine offene Landstraße bezeichnet. 1583 wird sie zur Geleitsstraße erhoben."
"196","202","DE","Kurz vor 1600 begann Landgraf Moritz von Hessen-Kassel mit Baumaßnahmen zur Schiffbarmachung der Fulda, unter anderem mittels der Errichtung von sieben Schleusen. Das erste Schiff aus Kassel erreichte 1601 Hersfeld. Es ist jedoch die Frage in wieweit der Fluss als Schifffahrtsverbindung benutzt wurde; spätestens im Dreißigjährigen Krieg muss hier die Schifffahrt eingegangen sein."
"198","204","DE","Diese Straße wurde vermutlich bereits 1027 in einer Grenzbeschreibung erwähnt, 1227 kommt sie unter dem Namen Weinstraße vor."
"200","206","DE","Eine Urkunde von 1330 benennt diesen Straßenabschnitt mit ""Hohe Straße""."
"202","218","NL","Meijel bevond zich op een zandrug door het hoogveengebied De Peel, dat verder nauwelijks toegankelijk was. Een route over deze zandrug is waarschijnlijk terug te voeren in de Romeinse tijd, zoals archeologische vondsten aantonen. In de 18e eeuw wordt hier een doorgaande weg tussen 's-Hertogenbosch en Keulen genoemd, wat door het bestaan van een tol en herbergen in Meijel wordt ondersteund. Het venige gebied moet de doorgang echter regelmatig bemoeilijkt hebben. Volgens de Engelse militair D. Paterson in 1748 was de weg ""impassable in winter for wagons of any size"". Hoogstens ging het hier dus om een verbinding van secundair belang, waarbij het meeste doorgangsverkeer de Peel zal hebben gemeden."
"204","220","DE","Die Straße auf dem linken Lippeufer zwischen Hamm und Lünen war sehr sumpfig und wurde wahrscheinlich erst nach dem Dreißigjährigen Krieg für den Fernverkehr genutzt."
"206","222","DE","Im Mitteldeutschen Heimatatlas als Nebenstrecke vor dem 15. Jahrhundert eingezeichnet."
"208","224","DE","Vor dem Bau der Brücken in Berka/Werra wurde teilweise eine Strecke entlang der Werra mit einer Furt in Wartha genutzt. Die Furt war allerdings beschwerlich und unmittelbar danach musste eine Geländezunge erklommen werden, die erst im 19. Jahrhundert abgetragen wurde."
"212","226","NL","Met de bouw van een grote schutsluis in Zaandam, die gereed kwam in 1547, werd de Zaan de hoofdwaterweg tussen Amsterdam en het Hollandse noorderkwartier. Voorheen was de dam alleen door kleine schuiten te passeren en verliep de vaarroute voor grotere schepen tussen Alkmaar en Amsterdam met een omweg via Edam."
"214","228","NL","Nadat de Hollandse IJssel van de Lek was afgedamd in 1285, verlandde de rivier langzaam. In 1486 werd opgemerkt dat de rivier tussen IJsselstein en Oudewater daardoor al lang onbevaarbaar geworden was."
"216","230","NL","De trekvaart tussen Amsterdam en Haarlem werd in 1631-1632 gegraven. Op wens van Haarlem, dat een tol hief op het Spaarne, was het gebruik van het kanaal beperkt tot personenvervoer; voor vrachtvervoer bleef de oude route via het IJ en het Spaarne in gebruik. Vanwege de aanwezigheid van drie spuisluizen in Halfweg was het kanaal daar onderbroken en moesten passagiers overstappen op een andere trekschuit."
"218","232","DE","Die südliche Route zwischen Lüneburg und Soltau über Amelinghausen war die ältere und wurde später als Karrenweg bekannt; der stärkere Verkehr mit Frachtwagen benutzte ab dem 15. Jh. die nördliche Route über Soderstorf und Hützel."
"220","234","DE","Die nördliche Route zwischen Lüneburg und Soltau über Soderstorf und Hützel entwickelte sich im späten 15. oder 16. Jh. für den schweren Frachtverkehr. Sie war später als Fracht- und Postweg bekannt."
"222","236","DE","Nach Bruno Ploetz war die Straße zwischen Lüneburg und Celle über Tellmer und Oberohe der alte Karrenweg. Er verödete im 18. Jh. langsam wegen Bevorzugung des Frachtweges über Müden."
"224","238","DE","Nach Bruno Ploetz entstand der Frachtweg zwischen Lüneburg und Celle über Müden im 16. Jh. und ersetzte langsam den älteren Karrenweg über Tellmer und Oberohe."
"226","240","DE","Der ""Hessenkarrenweg"" war die Route für den Karrenverkehr zwischen Braunschweig und Lüneburg. Ein Frachtweg für Frachtwagen verlief auf manchen Strecken östlich dieser Route."
"228","242","DE","Der Frachtweg für schwere Frachtwagen zwischen Braunschweig und Lüneburg verlief östlich des Hessenkarrenweges an manchen Teilen der Route."
"230","244","DE","Die Strecke zwischen Bienenbüttel und Oldenstadt/Uelzen über Medingen und Jastorf war als Winter-Frachtweg bekannt, weil sie in Gegensatz zu dem westlicher gelegenen Sommerweg zu allen Jahreszeiten benutzt werden konnte."
"232","246","DE","Die Straße zwischen Bienenbüttel und Uelzen über Seedorf war als Sommer-Frachtweg bekannt, weil sie nur bei trockenem Wetter benutzt werden konnte, in Gegensatz zu dem Winterweg über Jastorf."
"234","248","NL","In 1640 verkregen de steden Leeuwarden, Franeker en Harlingen een octrooi om langs de reeds bestaande vaarten tussen de drie steden een trekpad aan te leggen. In 1646 verkeerde de eerste trekschuiten op deze route; dagelijks waren het er vijf in beide richtingen. Passagiers betaalden 12 penningen per afgelegde mijl, voor voetgangers gold een tol van acht penningen de mijl."
"236","250","NL","In 1648 werd een trekvaart tussen Leeuwarden, Bolsward en Workum aangelegd."
"238","252","NL","De vaarroute tussen Dokkum en Leeuwarden werd in 1647 tot trekvaart met een trekpad uitgebouwd."
"240","254","NL","Het Damsterdiep tussen Groningen en Delfzijl werd in 1648-1650 tot trekvaart omgebouwd."
"242","256","NL","Op Jacob van Deventer's kaart van Sloten (midden 16e eeuw) wordt de weg naar het noordoosten richting Sint Nicolaasga slechts weergegeven als voetpad. Op kaarten uit het midden van de 17e eeuw wordt wel de huidige Spanjaardsdijk als rijweg ingetekend."
"244","258","DE","Von Schifffahrt auf der Oude IJssel ist keine Rede vor dem Jahr 1582, als die Wassermühle bei Keppel, die vorher der Schifffahrt behindert hatte, zerstört wurde. Einer Hafenordnung aus Doesburg 1590 zufolge, fuhren zu der Zeit Schiffe zwischen Doesburg und Doetinchem. 1592 wurden zudem die Bocholter Aa bis Bocholt und die Issel bis Anholt schiffbar gemacht."
"246","258","NL","Van scheepvaart op de Oude IJssel was waarschijnlijk vóór 1582 geen sprake; in dat jaar werd de watermolen bij Keppel, een obstakel voor de scheepvaart, afgebroken. Uit een ordonnantie uit Doesburg uit 1590 blijkt, dat toen scheepvaart tussen Doesburg en Doetinchem plaatsvond. Vanaf 1592 vonden bovendien werkzaamheden plaats om de rivier tot aan Bocholt (Bocholter Aa/Aastrang) en Anholt (Issel) bevaarbaar te maken."
"248","260","NL","Na de Elizabethvloed (1421) was de waterhuishouding in de Hollandse Rijndelta zo grondig veranderd, dat de IJssel langzaam steeds ondieper werd. In de late 16e en 17e eeuw was de rivier zelfs zo ondiep geworden, dat de vele zandbanken en de lage waterstand scheepvaart gedurende grote delen van het jaar onmogelijk maakten."
"250","262","NL","Op de heide tussen Utrecht en Amersfoort werd in 1652 een kaarsrechte, 60m brede nieuwe weg aangelegd: de ""wegh der weegen"". Er schijnt op deze plaats ook een middeleeuwse route te zijn geweest, waarvan het verloop niet meer is vast te stellen."

